,id,payment score
210,c450355582d4bf0babd6d2b39d72e46297fca33662a3588d19a4f8763bd47aff,549.773
211,ad66c984e9093dfa48f9249360ee1c6552c98842b70759cb2e4a0f9d3fcf1f33,23.278
212,9c3416d5a59757dc85e90cfcd6d0a324fafb69956ffbab5eada5fa7583c11cd8,2.066
213,80c1e21d1dc2360b24c1e5c847ee10c554612c64706700ec37aa0713582b593a,131.725
214,a2489eed59ef79624a4f3cf37f84b71990687a16a273f82d8652271ce7bd0187,147.799
215,e795d7124f2fb548870c0359a605244287257c6ed267e959e18876ef36f65543,255.918
216,2435e940aca07a57cf2e2a20453ca72e6f95187abb4260d0bd73cb4b6070cf6d,159.171
217,5df0c188a73b68e520da13f1d6e1ceaa121e50bcdaa0cb7aec1d427b2c1470d0,320.499
218,adea4c96284d1d08b3828a5da0642b7b6bf144d377086846b473c2a7cade28ba,125.72205
219,471dbc1857172b04da6370250e8c4c6832663889a3431a8cc4296a148e3a9b5a,44.148
220,32916888801f41b2e6205d1ac0b811e76a16730db5c936b6e4fdad1b4a2b143b,50.225
221,f4f784bc9bbc6ed1af61e0927e4acdf524a515b698bda780f14ff4894cf53772,328.525
222,ccb54d9d0e9eb8cce96a5b9c1645bee3d692eaae64ed3c614a44b73d24ce701f,64.087
223,b9c72e471571f4b5a74ad9023ba4ad74196f174e79fcb033557f82f216c78cf0,448.812
224,464bd20cfe81dd456d855309f2585db37d9378079f562705c891e51f7b416a1a,188.049
225,e558ea3e40418ecf055775526db431c2f491f8cf8d6f168b81c56075647194ad,21.445
226,a05a60d4e5a0a65b812a1788d5e45f8b4ad8788c1bbbeccac933452800388d74,20.399
227,25fa58faf18686da6620cbd4283f6215963f1dd042491f50f11383347c8c7a5e,380.064
228,5e6fc7ef0c138b26ae0c983ca2de982e6234e328353c53bd4acfe94432b7215e,255.91
